"(PDH-CSV 4.0) (India Standard Time)(-330)","\\RODNEY-A9F2EF35\ICMP\Messages Sent/sec","\\RODNEY-A9F2EF35\ICMP\Messages/sec","\\RODNEY-A9F2EF35\ICMP\Sent Echo/sec","\\RODNEY-A9F2EF35\Memory\% Committed Bytes In Use","\\RODNEY-A9F2EF35\Processor(_Total)\% Processor Time"
"03/30/2015 10:40:03.265","0.99688198062739697","1.9937639612547939","0.99688198062739697","13.126935178569191","23.076923076923073"
"03/30/2015 10:40:04.265","0","0","0","13.57852907625387","34.375"
"03/30/2015 10:40:05.265","1.0001293627807355","1.0001293627807355","1.0001293627807355","14.566018577714265","64.0625"
"03/30/2015 10:40:06.265","0","0","0","16.34669625061111","75"
"03/30/2015 10:40:07.265","0","0","0","21.714113797901547","93.75"
"03/30/2015 10:40:08.281","0","0","0","22.426134155666706","95.384615384615373"
"03/30/2015 10:40:09.281","0","0","0","22.856417584897144","78.125"
"03/30/2015 10:40:10.281","1.0052501509471052","1.0052501509471052","1.0052501509471052","22.778383663645592","100"
"03/30/2015 10:40:11.281","0","0","0","22.940719290988181","75"
"03/30/2015 10:40:12.281","0","0","0","22.981146503202837","31.25"
"03/30/2015 10:40:13.281","0","0","0","23.70946310155065","59.375"
"03/30/2015 10:40:14.281","0","0","0","23.67342333872363","67.1875"
"03/30/2015 10:40:15.281","0","0","0","23.697554310355635","32.8125"
"03/30/2015 10:40:16.281","1.0060618716759551","1.0060618716759551","1.0060618716759551","23.838579469243978","60.9375"
"03/30/2015 10:40:17.281","0","0","0","24.056384992415978","68.75"
"03/30/2015 10:40:18.281","0","0","0","23.598836699133795","48.4375"
"03/30/2015 10:40:19.281","0","0","0","23.817269000789739","48.4375"
"03/30/2015 10:40:20.281","0","0","0","23.966442279969414","46.875"
"03/30/2015 10:40:21.281","0.9969236262219785","0.9969236262219785","0.9969236262219785","24.005302545974203","28.125"
"03/30/2015 10:40:22.281","0","0","0","24.07926240708009","67.1875"
"03/30/2015 10:40:23.281","0","0","0","24.507978890100659","43.75"
"03/30/2015 10:40:24.281","0","0","0","24.518947513569756","23.4375"
"03/30/2015 10:40:25.281","0","0","0","24.609517004500269","65.625"
"03/30/2015 10:40:26.281","0.98936709770412778","1.9787341954082556","0.98936709770412778","24.622992741905154","42.1875"
"03/30/2015 10:40:27.281","1.0101470599855289","2.0202941199710578","1.0101470599855289","24.903476113471974","46.875"
"03/30/2015 10:40:28.281","0.97314141705225721","1.9462828341045144","0.97314141705225721","25.146352776001908","51.5625"
"03/30/2015 10:40:29.296","0.99639221201022343","1.9927844240204469","0.99639221201022343","25.49515500231908","32.307692307692307"
"03/30/2015 10:40:30.296","0.99397016599745647","0.99397016599745647","0.99397016599745647","27.146716307522595","81.25"
"03/30/2015 10:40:31.312","0","0","0","27.131987013149811","40"
"03/30/2015 10:40:32.312","0","0","0","27.8255174056385","59.375"
"03/30/2015 10:40:33.312","0","0","0","28.084376919509108","76.5625"
"03/30/2015 10:40:34.312","0","0","0","30.023942938086822","93.75"
"03/30/2015 10:40:35.328","0.96041899982452694","0.96041899982452694","0.96041899982452694","30.212916650997208","56.92307692307692"
"03/30/2015 10:40:36.328","1.014953469242859","2.029906938485718","1.014953469242859","31.644165319092927","70.3125"
"03/30/2015 10:40:37.328","0","0","0","31.244594035575947","100"
"03/30/2015 10:40:38.328","0","0","0","31.409123387612347","100"
"03/30/2015 10:40:39.328","0","0","0","31.578980356762315","95.3125"
"03/30/2015 10:40:40.328","0","0","0","31.417584897145652","40.625"
"03/30/2015 10:40:41.328","0.98975665205161434","0.98975665205161434","0.98975665205161434","31.395334260965491","17.1875"
"03/30/2015 10:40:42.328","0","1.0062974678562353","0","31.145876424354107","92.1875"
"03/30/2015 10:40:43.328","0.9963750164227928","1.9927500328455856","0.9963750164227928","31.871059130282177","64.0625"
"03/30/2015 10:40:44.328","1.0037693807497989","2.0075387614995979","1.0037693807497989","32.128665087184885","65.625"
"03/30/2015 10:40:45.328","0.99822750265553906","1.9964550053110781","0.99822750265553906","32.646070725684126","56.25"
"03/30/2015 10:40:46.328","1.0058009497316587","2.0116018994633174","1.0058009497316587","34.493186917879484","75"
"03/30/2015 10:40:47.328","0","0","0","36.04321010868339","100"
"03/30/2015 10:40:48.328","0.97734029717652005","0.97734029717652005","0.97734029717652005","36.180161207426067","100"
"03/30/2015 10:40:49.343","0","0","0","35.978025146352778","78.461538461538467"
"03/30/2015 10:40:50.343","0","0","0","36.448422398555905","70.3125"
"03/30/2015 10:40:51.343","0","0","0","37.223747383199829","70.3125"
"03/30/2015 10:40:52.343","0","0","0","37.574116555726874","76.5625"
"03/30/2015 10:40:53.343","1.0030023845349876","1.0030023845349876","1.0030023845349876","38.46946962004688","93.75"
"03/30/2015 10:40:54.343","0","0","0","39.412771238388927","96.875"
"03/30/2015 10:40:55.343","0","0","0","40.220375314956186","81.25"
"03/30/2015 10:40:56.343","0","0","0","36.702894463038874","93.75"
"03/30/2015 10:40:57.343","0","0","0","36.855515023880258","82.8125"
"03/30/2015 10:40:58.343","0.97775381946075757","0.97775381946075757","0.97775381946075757","32.625387035713835","68.75"
"03/30/2015 10:40:59.343","0","0","0","32.619746029358303","20.3125"
"03/30/2015 10:41:00.359","0","0","0","33.146239955874798","50.769230769230766"
"03/30/2015 10:41:01.406","0","0","0","33.061624860541791","32.835820895522382"
"03/30/2015 10:41:02.406","0","0","0","26.347887129730612","51.5625"
"03/30/2015 10:41:03.421","0.9910325075063644","0.9910325075063644","0.9910325075063644","26.347887129730612","13.846153846153841"
