"(PDH-CSV 4.0) (India Standard Time)(-330)","\\RODNEY-A9F2EF35\ICMP\Messages Sent/sec","\\RODNEY-A9F2EF35\ICMP\Messages/sec","\\RODNEY-A9F2EF35\ICMP\Sent Echo/sec","\\RODNEY-A9F2EF35\Memory\% Committed Bytes In Use","\\RODNEY-A9F2EF35\Processor(_Total)\% Processor Time"
"03/28/2015 13:35:58.493","2.0211074479371636","3.0316611719057454","1.0105537239685818","29.49212139445677","3.125"
"03/28/2015 13:35:59.493","1.000088007755858","2.0001760155117161","1.000088007755858","30.065937096511352","46.875"
"03/28/2015 13:36:00.509","0","0","0","30.206335476915747","100"
"03/28/2015 13:36:01.509","0","0","0","30.061863036365686","100"
"03/28/2015 13:36:02.509","0","0","0","31.332343023328697","100"
"03/28/2015 13:36:03.525","0.98718618381426637","1.9743723676285327","0.98718618381426637","30.780151178970328","64.615384615384613"
"03/28/2015 13:36:04.525","2.0008183157396382","3.0012274736094571","1.0004091578698191","30.799581311972723","10.9375"
"03/28/2015 13:36:05.525","2.9998055744813152","3.999740765975087","0.99993519149377175","30.79644741955298","9.375"
"03/28/2015 13:36:06.525","1.0146027835395772","2.0292055670791544","1.0146027835395772","32.008950396750777","90.625"
"03/28/2015 13:36:07.525","0.98172659388350469","1.9634531877670094","0.98172659388350469","32.316385243127371","93.75"
"03/28/2015 13:36:08.525","2.0285247973342475","3.0427871960013713","1.0142623986671238","34.43959735750191","79.6875"
"03/28/2015 13:36:09.525","0.98931377670173926","1.9786275534034785","0.98931377670173926","34.04629385882442","87.5"
"03/28/2015 13:36:10.525","1.0137668917722926","2.0275337835445852","1.0137668917722926","34.555237987790356","37.5"
"03/28/2015 13:36:11.525","0","0","0","35.002444436087401","98.4375"
"03/28/2015 13:36:12.525","0","0","0","35.734835094580873","95.3125"
"03/28/2015 13:36:13.525","0.99983296756582074","0.99983296756582074","0","35.746117107291944","15.625"
"03/28/2015 13:36:14.525","0","0","0","35.973637696965142","21.875"
"03/28/2015 13:36:15.525","0.99743198279294709","0.99743198279294709","0","36.008110513582295","31.25"
"03/28/2015 13:36:16.525","2.9940229030044687","2.9940229030044687","0","36.102127286174515","64.0625"
"03/28/2015 13:36:17.540","0.99137312660668553","0.99137312660668553","0","36.530216990711146","95.384615384615373"
"03/28/2015 13:36:18.540","0","0","0","36.74050117207576","85.9375"
"03/28/2015 13:36:19.540","0","0","0","36.744261842979455","100"
"03/28/2015 13:36:20.915","0","0","0","36.666541310969876","100"
"03/28/2015 13:36:21.915","0","0","0","37.252265804219476","78.125"
"03/28/2015 13:36:23.337","0","0","0","37.226254497135628","100"
"03/28/2015 13:36:24.337","0","0","0","37.501723640830861","90.625"
"03/28/2015 13:36:25.337","0","0","0","37.523660887769047","100"
"03/28/2015 13:36:26.337","0","0","0","37.181126446291351","100"
"03/28/2015 13:36:27.337","0","0","0","37.422122773369438","78.125"
"03/28/2015 13:36:28.337","0","0","0","37.397051634011511","92.1875"
"03/28/2015 13:36:29.337","1.0148671418247306","1.0148671418247306","0","37.727677284294188","70.3125"
"03/28/2015 13:36:30.337","1.9824316507198165","1.9824316507198165","0","37.939215022626705","100"
"03/28/2015 13:36:31.337","1.0094041615297069","1.0094041615297069","0","37.856480262745542","45.3125"
"03/28/2015 13:36:32.337","0","0","0","37.874970228022015","28.125"
"03/28/2015 13:36:33.337","0","0","0","38.329071239642488","71.875"
